[[0, 0], [0, 0], [0.0, 0.0], [0, 0]]
[[0, 0], [0, 0], [0.0, 0.005], [0, 0]]
[[0, 0], [0.0, -0.005], [0.0, 0.005], [0, 0]]
[[0.005, 0.0], [0.0, -0.005], [0.0, 0.005], [0, 0]]
[[0.005, 0.0], [0.0, -0.005], [0.0, 0.005], [0.0, 0.0]]
[[0.009975000000000001, 0.005], [0.0, -0.005], [0.0, 0.005], [0.0, 0.0]]
[[0.009975000000000001, 0.005], [0.0, -0.009975000000000001], [0.0, 0.005], [0.0, 0.0]]
[[0.009975000000000001, 0.005], [0.0, -0.009975000000000001], [0.0, 0.004975], [0.0, 0.0]]
[[0.009925125000000002, 0.009975000000000001], [0.0, -0.009975000000000001], [0.0, 0.004975], [0.0, 0.0]]
[[0.009925125000000002, 0.009975000000000001], [0.0, -0.014925125000000001], [0.0, 0.004975], [0.0, 0.0]]
[[0.009925125000000002, 0.009975000000000001], [0.0, -0.014925125000000001], [0.0, 0.004975], [-0.005, 0.0]]
[[0.014875499375000002, 0.014925125000000001], [0.0, -0.014925125000000001], [0.0, 0.004975], [-0.005, 0.0]]
[[0.014875499375000002, 0.014925125000000001], [0.0, -0.014850499375000001], [0.0, 0.004975], [-0.005, 0.0]]
[[0.014875499375000002, 0.014925125000000001], [0.0, -0.014850499375000001], [0.0, 0.004975], [-0.005, -0.005]]
[[0.014875499375000002, 0.014925125000000001], [0.0, -0.014850499375000001], [0.0, 0.004975], [-0.004975, -0.005]]
[[0.014875499375000002, 0.014925125000000001], [0.0, -0.014776246878125001], [0.0, 0.004975], [-0.004975, -0.005]]
[[0.014875499375000002, 0.014925125000000001], [0.0, -0.014776246878125001], [0.005, 0.004975], [-0.004975, -0.005]]
[[0.014875499375000002, 0.014925125000000001], [0.0, -0.014776246878125001], [0.005, 0.004975], [-0.009950125, -0.005]]
[[0.014801121878125002, 0.014850499375000001], [0.0, -0.014776246878125001], [0.005, 0.004975], [-0.009950125, -0.005]]
[[0.014727116268734377, 0.014776246878125001], [0.0, -0.014776246878125001], [0.005, 0.004975], [-0.009950125, -0.005]]
[[0.014727116268734377, 0.014776246878125001], [0.0, -0.019702365643734378], [0.005, 0.004975], [-0.009950125, -0.005]]
[[0.014727116268734377, 0.014776246878125001], [0.0, -0.019702365643734378], [0.005, 0.004975], [-0.009950125, -0.009975000000000001]]
[[0.014727116268734377, 0.014776246878125001], [0.0, -0.024603853815515705], [0.005, 0.004975], [-0.009950125, -0.009975000000000001]]
[[0.014727116268734377, 0.014776246878125001], [0.0, -0.02948083454643813], [0.005, 0.004975], [-0.009950125, -0.009975000000000001]]
[[0.014727116268734377, 0.014776246878125001], [0.0, -0.02948083454643813], [0.005, 0.004975], [-0.009900374375, -0.009975000000000001]]
[[0.019653480687390704, 0.014702365643734377], [0.0, -0.02948083454643813], [0.005, 0.004975], [-0.009900374375, -0.009975000000000001]]
[[0.024555213283953752, 0.019628853815515705], [0.0, -0.02948083454643813], [0.005, 0.004975], [-0.009900374375, -0.009975000000000001]]
[[0.024555213283953752, 0.019628853815515705], [0.0, -0.02948083454643813], [0.009975000000000001, 0.004975], [-0.009900374375, -0.009975000000000001]]
[[0.024555213283953752, 0.019628853815515705], [-0.005, -0.03433343037370594], [0.009975000000000001, 0.004975], [-0.009900374375, -0.009975000000000001]]
[[0.024555213283953752, 0.019628853815515705], [-0.005, -0.03433343037370594], [0.009975000000000001, 0.004975], [-0.009900374375, -0.014925125000000001]]
[[0.029432437217533983, 0.02453070954643813], [-0.005, -0.03433343037370594], [0.009975000000000001, 0.004975], [-0.009900374375, -0.014925125000000001]]
[[0.029432437217533983, 0.02453070954643813], [-0.005, -0.03433343037370594], [0.009975000000000001, 0.004975], [-0.009850872503125, -0.014925125000000001]]
[[0.034285275031446315, 0.02440805599870594], [-0.005, -0.03433343037370594], [0.009975000000000001, 0.004975], [-0.009850872503125, -0.014925125000000001]]
[[0.034285275031446315, 0.02440805599870594], [-0.005, -0.03433343037370594], [0.014925125000000001, 0.004975], [-0.009850872503125, -0.014925125000000001]]
[[0.039113848656289085, 0.029286015718712408], [-0.005, -0.03433343037370594], [0.014925125000000001, 0.004975], [-0.009850872503125, -0.014925125000000001]]
[[0.039113848656289085, 0.029286015718712408], [-0.005, -0.03433343037370594], [0.014850499375000001, 0.004975], [-0.009850872503125, -0.014925125000000001]]
[[0.039113848656289085, 0.029286015718712408], [-0.005, -0.03433343037370594], [0.014850499375000001, 0.004975], [-0.009850872503125, -0.019850499375]]
[[0.039113848656289085, 0.029286015718712408], [-0.005, -0.03433343037370594], [0.019776246878125, 0.004975], [-0.009850872503125, -0.019850499375]]
[[0.039113848656289085, 0.029286015718712408], [-0.005, -0.03433343037370594], [0.024677365643734378, 0.004975], [-0.009850872503125, -0.019850499375]]
[[0.03891827941300764, 0.029139585640118846], [-0.005, -0.03433343037370594], [0.024677365643734378, 0.004975], [-0.009850872503125, -0.019850499375]]
[[0.043723688015942605, 0.028993887711918253], [-0.005, -0.03433343037370594], [0.024677365643734378, 0.004975], [-0.009850872503125, -0.019850499375]]
[[0.043723688015942605, 0.028993887711918253], [-0.005, -0.03433343037370594], [0.024677365643734378, 0.004975], [-0.009850872503125, -0.019751246878125]]
[[0.043723688015942605, 0.028993887711918253], [-0.005, -0.03433343037370594], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.043723688015942605, 0.028993887711918253], [-0.004975, -0.03416176322183741], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.043723688015942605, 0.028993887711918253], [-0.0049501250000000005, -0.03899095440572822], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.04850506957586289, 0.028848918273358663], [-0.0049501250000000005, -0.03899095440572822], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.04850506957586289, 0.028848918273358663], [-0.009925374375, -0.04379599963369958], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.04850506957586289, 0.028848918273358663], [-0.009875747503125, -0.048577019635531085], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.04850506957586289, 0.028848918273358663], [-0.009826368765609376, -0.05333413453735343], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.04850506957586289, 0.028848918273358663], [-0.014777236921781331, -0.05306746386466667], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
[[0.04850506957586289, 0.028848918273358663], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.004975], [-0.009801618140609375, -0.019751246878125]]
