[0, -0.015, 0, 0]
[0.015, -0.015, 0, 0]
[0.015, -0.015, 0.015, 0]
[0.015, -0.02955, 0.015, 0]
[0.015, -0.02955, 0.01499325, 0]
[0.015, -0.02955, 0.029530158037499997, 0]
[0.015, -0.02955, 0.029530158037499997, 0.0]
[0.015, -0.02955, 0.043617670262758125, 0.0]
[0.02955, -0.02955, 0.043617670262758125, 0.0]
[0.02955, -0.02955, 0.057262929169640264, 0.0]
[0.02955, -0.02955, 0.057196020183535395, 0.0]
[0.0586635, -0.02955, 0.057196020183535395, 0.0]
[0.056903595, -0.02955, 0.057196020183535395, 0.0]
[0.056903595, -0.02955, 0.057196020183535395, -0.015]
[0.056903595, -0.02955, 0.05710538025793108, -0.015]
[0.056903595, -0.0586635, 0.05710538025793108, -0.015]
[0.05519648715, -0.0586635, 0.05710538025793108, -0.015]
[0.05519648715, -0.071903595, 0.05710538025793108, -0.015]
[0.05519648715, -0.08474648715, 0.05710538025793108, -0.015]
[0.05519648715, -0.08474648715, 0.05710538025793108, -0.014543249999999999]
[0.05519648715, -0.0972040925355, 0.05710538025793108, -0.014543249999999999]
[0.05519648715, -0.094287969759435, 0.05710538025793108, -0.014543249999999999]
[0.05519648715, -0.094287969759435, 0.07027383003973417, -0.014543249999999999]
[0.05519648715, -0.10645933066665195, 0.07027383003973417, -0.014543249999999999]
[0.0685405925355, -0.10645933066665195, 0.07027383003973417, -0.014543249999999999]
[0.0685405925355, -0.11826555074665239, 0.07027383003973417, -0.014543249999999999]
[0.0685405925355, -0.11471758422425282, 0.07027383003973417, -0.014543249999999999]
[0.0685405925355, -0.11471758422425282, 0.07013554887604637, -0.014543249999999999]
[0.0685405925355, -0.11471758422425282, 0.07013554887604637, -0.014530360537499998]
[0.0685405925355, -0.12627605669752523, 0.07013554887604637, -0.014530360537499998]
[0.0685405925355, -0.12627605669752523, 0.07013554887604637, -0.014511319096633123]
[0.096484374759435, -0.12627605669752523, 0.07013554887604637, -0.014511319096633123]
[0.096484374759435, -0.12627605669752523, 0.07013554887604637, -0.029050598167999778]
[0.096484374759435, -0.12627605669752523, 0.07013554887604637, -0.029014036556998885]
[0.096484374759435, -0.12627605669752523, 0.07013554887604637, -0.043093258642675616]
[0.096484374759435, -0.12627605669752523, 0.07013554887604637, -0.04302831193406694]
[0.096484374759435, -0.12627605669752523, 0.0828544097398132, -0.04302831193406694]
[0.096484374759435, -0.12627605669752523, 0.0828544097398132, -0.042945950886346194]
[0.096484374759435, -0.12627605669752523, 0.0828544097398132, -0.056553838192829775]
[0.10858984351665195, -0.12627605669752523, 0.0828544097398132, -0.056553838192829775]
[0.10858984351665195, -0.12627605669752523, 0.0828544097398132, -0.056435261573288445]
[0.12033214821115239, -0.12627605669752523, 0.0828544097398132, -0.056435261573288445]
[0.12033214821115239, -0.12627605669752523, 0.0828544097398132, -0.07129484638462538]
[0.11672218376481781, -0.12627605669752523, 0.0828544097398132, -0.07129484638462538]
[0.11672218376481781, -0.13748777499659948, 0.0828544097398132, -0.07129484638462538]
[0.11672218376481781, -0.13748777499659948, 0.0828544097398132, -0.07067656097074912]
[0.11672218376481781, -0.13748777499659948, 0.0828544097398132, -0.07004501966685231]
[0.12822051825187328, -0.13748777499659948, 0.0828544097398132, -0.07004501966685231]
[0.12822051825187328, -0.13748777499659948, 0.0828544097398132, -0.06940090434322232]
[0.12822051825187328, -0.13748777499659948, 0.0828544097398132, -0.06874488207234679]
